Date,Time,Transaction,Item
10/30/2016,9:58:11,1,Bread
10/30/2016,10:05:34,2,Scandinavian
10/30/2016,10:05:34,2,Scandinavian
10/30/2016,10:07:57,3,Hot chocolate
10/30/2016,10:07:57,3,Jam
10/30/2016,10:07:57,3,Cookies
10/30/2016,10:08:41,4,Muffin
10/30/2016,10:13:03,5,Coffee
10/30/2016,10:13:03,5,Pastry
10/30/2016,10:13:03,5,Bread
10/30/2016,10:16:55,6,Medialuna
10/30/2016,10:16:55,6,Pastry
10/30/2016,10:16:55,6,Muffin
10/30/2016,10:19:12,7,Medialuna
10/30/2016,10:19:12,7,Pastry
10/30/2016,10:19:12,7,Coffee
10/30/2016,10:19:12,7,Tea
10/30/2016,10:20:51,8,Pastry
10/30/2016,10:20:51,8,Bread
10/30/2016,10:21:59,9,Bread
10/30/2016,10:21:59,9,Muffin
10/30/2016,10:25:58,10,Scandinavian
10/30/2016,10:25:58,10,Medialuna
10/30/2016,10:27:21,11,Bread
10/30/2016,10:27:21,11,Medialuna
10/30/2016,10:27:21,11,Bread
10/30/2016,10:27:21,11,NONE
10/30/2016,10:30:14,12,Jam
10/30/2016,10:30:14,12,Coffee
10/30/2016,10:30:14,12,Tartine
10/30/2016,10:30:14,12,Pastry
10/30/2016,10:30:14,12,Tea
10/30/2016,10:31:24,13,Basket
10/30/2016,10:31:24,13,Bread
10/30/2016,10:31:24,13,Coffee
10/30/2016,10:32:46,14,Bread
10/30/2016,10:32:46,14,Medialuna
10/30/2016,10:32:46,14,Pastry
10/30/2016,10:34:36,15,NONE
10/30/2016,10:34:36,15,NONE
10/30/2016,10:34:36,15,Mineral water
10/30/2016,10:34:36,15,Scandinavian
10/30/2016,10:37:08,16,Bread
10/30/2016,10:37:08,16,Medialuna
10/30/2016,10:37:08,16,Coffee
10/30/2016,10:38:04,17,Hot chocolate
10/30/2016,10:41:56,18,Farm House
10/30/2016,10:43:08,19,Farm House
10/30/2016,10:43:08,19,Bread
10/30/2016,10:45:22,20,Bread
10/30/2016,10:45:22,20,Medialuna
10/30/2016,10:49:29,21,Coffee
10/30/2016,10:49:29,21,Coffee
10/30/2016,10:49:29,21,Medialuna
10/30/2016,10:49:29,21,Bread
10/30/2016,10:52:15,22,Jam
10/30/2016,10:53:49,23,Scandinavian
10/30/2016,10:53:49,23,Muffin
10/30/2016,10:54:33,24,Bread
10/30/2016,10:55:22,25,Scandinavian
10/30/2016,10:56:08,26,Fudge
10/30/2016,11:02:19,27,Scandinavian
10/30/2016,11:03:24,28,Coffee
10/30/2016,11:03:24,28,Bread
10/30/2016,11:05:30,29,Bread
10/30/2016,11:05:30,29,Jam
10/30/2016,11:05:30,29,NONE
10/30/2016,11:07:19,30,Bread
10/30/2016,11:12:56,31,Basket
10/30/2016,11:16:15,32,Scandinavian
10/30/2016,11:16:15,32,Muffin
10/30/2016,11:22:49,33,Coffee
10/30/2016,11:25:45,34,Coffee
10/30/2016,11:25:45,34,Muffin
10/30/2016,11:27:34,35,Muffin
10/30/2016,11:27:34,35,Scandinavian
10/30/2016,11:33:08,36,Tea
10/30/2016,11:33:08,36,Bread
10/30/2016,11:37:10,37,Coffee
10/30/2016,11:37:10,37,Bread
10/30/2016,11:37:10,37,NONE
10/30/2016,11:42:40,38,Bread
10/30/2016,11:42:40,38,Tea
10/30/2016,11:44:31,39,Scandinavian
10/30/2016,11:55:51,40,Juice
10/30/2016,11:55:51,40,NONE
10/30/2016,11:55:51,40,Tartine
10/30/2016,11:55:51,40,Coffee
10/30/2016,11:55:51,40,Muffin
10/30/2016,11:57:06,41,Scandinavian
10/30/2016,11:57:45,42,Bread
10/30/2016,11:57:45,42,Tea
10/30/2016,12:00:22,43,Scandinavian
10/30/2016,12:00:22,43,Fudge
10/30/2016,12:05:47,44,Coffee
10/30/2016,12:05:47,44,Medialuna
10/30/2016,12:08:36,45,Coffee
10/30/2016,12:08:36,45,Hot chocolate
10/30/2016,12:08:36,45,Medialuna
10/30/2016,12:09:04,46,Coffee
10/30/2016,12:15:29,47,Ella's Kitchen Pouches
10/30/2016,12:15:29,47,Juice
10/30/2016,12:15:29,47,Bread
10/30/2016,12:15:29,47,Muffin
10/30/2016,12:15:29,47,Jam
10/30/2016,12:17:02,48,Coffee
10/30/2016,12:23:01,49,Coffee
10/30/2016,12:23:01,49,Coffee
10/30/2016,12:23:01,49,Medialuna
10/30/2016,12:25:11,50,Bread
10/30/2016,12:25:11,50,Victorian Sponge
10/30/2016,12:26:58,51,Bread
10/30/2016,12:28:07,52,Scandinavian
10/30/2016,12:33:08,54,Bread
10/30/2016,12:38:06,55,Frittata
10/30/2016,12:38:06,55,Coffee
10/30/2016,12:38:06,55,Tea
10/30/2016,12:38:06,55,Hearty & Seasonal
10/30/2016,12:39:27,56,Coffee
10/30/2016,12:39:27,56,Frittata
10/30/2016,12:45:48,57,Scandinavian
10/30/2016,12:59:29,58,Victorian Sponge
10/30/2016,12:59:29,58,Hot chocolate
10/30/2016,12:59:29,58,Tea
10/30/2016,12:59:29,58,Soup
10/30/2016,13:02:04,59,Tea
10/30/2016,13:02:04,59,NONE
10/30/2016,13:14:04,60,Cookies
10/30/2016,13:14:04,60,Coffee
10/30/2016,13:14:04,60,Juice
10/30/2016,13:14:04,60,Coffee
10/30/2016,13:15:38,61,Coffee
10/30/2016,13:24:00,62,Pick and Mix Bowls
10/30/2016,13:24:00,62,Hearty & Seasonal
10/30/2016,13:24:00,62,Hearty & Seasonal
10/30/2016,13:24:00,62,Coffee
10/30/2016,13:24:00,62,Smoothies
10/30/2016,13:24:00,62,Coffee
10/30/2016,13:33:12,63,Coffee
10/30/2016,13:34:07,64,Cake
10/30/2016,13:37:25,65,NONE
10/30/2016,13:37:25,65,Tartine
10/30/2016,13:37:25,65,Mighty Protein
10/30/2016,13:37:25,65,Tea
10/30/2016,13:37:25,65,Coffee
10/30/2016,13:40:20,66,Hearty & Seasonal
10/30/2016,13:40:20,66,Frittata
10/30/2016,13:40:20,66,Mineral water
10/30/2016,13:46:48,67,Hearty & Seasonal
10/30/2016,13:46:48,67,NONE
10/30/2016,13:46:48,67,Mineral water
10/30/2016,13:46:48,67,Muffin
10/30/2016,13:49:36,68,Frittata
10/30/2016,13:49:36,68,Coffee
10/30/2016,13:49:36,68,Tea
10/30/2016,13:49:36,68,Scandinavian
10/30/2016,13:49:36,68,Chicken sand
10/30/2016,13:51:49,69,Bread
10/30/2016,13:51:49,69,Tea
10/30/2016,13:51:49,69,Victorian Sponge
10/30/2016,13:54:42,70,Fudge
10/30/2016,13:56:08,71,Muffin
10/30/2016,14:21:38,72,Coffee
10/30/2016,14:21:38,72,Bread
10/30/2016,14:22:39,73,Bread
10/30/2016,14:24:03,74,Coffee
10/30/2016,14:24:03,74,Bread
10/30/2016,14:32:26,75,NONE
10/30/2016,14:32:26,75,Jam
10/30/2016,14:32:26,75,Frittata
10/30/2016,14:32:49,76,Coffee
10/30/2016,14:35:36,77,Scandinavian
10/30/2016,14:42:29,78,Fudge
10/30/2016,14:45:44,79,Fudge
10/30/2016,14:45:44,79,Tea
10/30/2016,14:45:44,79,Coffee
10/30/2016,14:45:44,79,Muffin
10/30/2016,14:48:40,80,Frittata
10/30/2016,14:48:40,80,Bread
10/30/2016,14:48:40,80,Coffee
10/31/2016,8:28:31,81,Coffee
10/31/2016,8:28:31,81,Cake
10/31/2016,8:47:05,82,Tartine
10/31/2016,8:47:05,82,NONE
10/31/2016,8:47:05,82,Bread
10/31/2016,8:57:47,83,Coffee
10/31/2016,8:57:47,83,Bread
10/31/2016,9:04:06,84,Bread
10/31/2016,9:10:09,85,Coffee
10/31/2016,9:10:09,85,Coffee
10/31/2016,9:10:09,85,Pastry
10/31/2016,9:10:09,85,Medialuna
10/31/2016,9:11:08,86,Juice
10/31/2016,9:12:56,87,Bread
10/31/2016,9:16:01,88,Coffee
10/31/2016,9:16:01,88,Coffee
10/31/2016,9:16:01,88,Jam
10/31/2016,9:19:41,89,Bread
10/31/2016,9:20:12,90,Bread
10/31/2016,9:20:12,90,Coffee
10/31/2016,9:22:48,91,Tea
10/31/2016,9:22:48,91,NONE
10/31/2016,9:27:11,92,Coffee
10/31/2016,9:29:23,93,Bread
10/31/2016,9:29:23,93,Coke
10/31/2016,9:39:09,94,Coffee
10/31/2016,9:39:09,94,Coffee
10/31/2016,9:43:37,95,Tea
10/31/2016,9:43:37,95,Pastry
10/31/2016,9:43:37,95,Farm House
10/31/2016,9:46:48,96,Pastry
10/31/2016,9:46:48,96,Pastry
10/31/2016,9:46:48,96,Coffee
10/31/2016,9:46:48,96,Juice
10/31/2016,9:51:11,97,Coffee
10/31/2016,9:51:11,97,Pastry
10/31/2016,9:51:11,97,Juice
10/31/2016,9:52:22,98,Farm House
10/31/2016,9:56:37,99,Pastry
10/31/2016,9:56:37,99,Pastry
10/31/2016,9:56:37,99,Coffee
10/31/2016,9:56:37,99,Bread
10/31/2016,9:58:06,100,Bread
10/31/2016,10:04:02,101,Coffee
10/31/2016,10:04:02,101,Pastry
10/31/2016,10:04:44,102,Farm House
10/31/2016,10:07:40,103,NONE
10/31/2016,10:07:40,103,Bread
10/31/2016,10:12:48,104,Coffee
10/31/2016,10:12:48,104,Coffee
10/31/2016,10:12:48,104,Medialuna
10/31/2016,10:12:48,104,Muffin
10/31/2016,10:12:48,104,Coffee
10/31/2016,10:21:29,105,Coffee
10/31/2016,10:21:29,105,Tea
10/31/2016,10:21:29,105,NONE
10/31/2016,10:21:29,105,Cake
10/31/2016,10:24:21,106,Coffee
10/31/2016,10:24:21,106,Coffee
10/31/2016,10:24:21,106,Pastry
10/31/2016,10:24:21,106,Pastry
10/31/2016,10:27:30,107,Coffee
10/31/2016,10:27:30,107,Tea
10/31/2016,10:31:05,108,Farm House
10/31/2016,10:31:05,108,Muffin
10/31/2016,10:35:23,109,Bread
10/31/2016,10:35:23,109,Muffin
10/31/2016,10:35:23,109,Pastry
10/31/2016,10:36:37,110,Pastry
10/31/2016,10:38:09,111,Coffee
10/31/2016,10:59:17,112,Coffee
10/31/2016,11:02:37,113,Coffee
10/31/2016,11:02:37,113,Cake
10/31/2016,11:05:45,114,Farm House
10/31/2016,11:08:53,115,Bread
10/31/2016,11:11:01,116,Coffee
10/31/2016,11:13:08,117,Cookies
10/31/2016,11:13:08,117,Cake
10/31/2016,11:13:08,117,Coffee
10/31/2016,11:13:08,117,My-5 Fruit Shoot
10/31/2016,11:18:29,118,Cookies
10/31/2016,11:18:29,118,Cookies
10/31/2016,11:18:29,118,Tea
10/31/2016,11:18:29,118,Pastry
10/31/2016,11:25:56,119,Coffee
10/31/2016,11:25:56,119,Coffee
10/31/2016,11:25:56,119,Muffin
10/31/2016,11:29:01,120,Farm House
10/31/2016,11:30:59,121,Coffee
10/31/2016,11:30:59,121,Bread
10/31/2016,11:37:30,122,Cookies
10/31/2016,11:42:05,123,Jam
10/31/2016,11:42:05,123,NONE
10/31/2016,11:42:05,123,Coffee
10/31/2016,11:42:05,123,Coffee
10/31/2016,11:42:05,123,Juice
10/31/2016,11:43:10,124,Coffee
10/31/2016,11:43:10,124,Soup
10/31/2016,11:47:18,125,Tea
10/31/2016,11:52:43,126,Coffee
10/31/2016,11:52:43,126,Jam
10/31/2016,11:53:11,127,Farm House
10/31/2016,11:55:00,128,NONE
10/31/2016,11:55:00,128,Tartine
10/31/2016,11:55:00,128,Coffee
10/31/2016,11:55:00,128,Tea
10/31/2016,11:59:23,129,Coffee
10/31/2016,11:59:23,129,Coffee
10/31/2016,11:59:23,129,Cake
10/31/2016,12:03:12,130,Coffee
10/31/2016,12:03:12,130,Coffee
10/31/2016,12:03:12,130,Muffin
10/31/2016,12:08:28,131,Bread
10/31/2016,12:08:28,131,Coffee
10/31/2016,12:14:20,132,Tea
10/31/2016,12:14:20,132,Juice
10/31/2016,12:14:20,132,Pick and Mix Bowls
10/31/2016,12:14:20,132,Cookies
10/31/2016,12:16:32,133,Hearty & Seasonal
10/31/2016,12:16:32,133,Soup
10/31/2016,12:19:37,134,Hearty & Seasonal
10/31/2016,12:19:37,134,Tea
10/31/2016,12:19:37,134,Farm House
10/31/2016,12:20:21,135,Bread
10/31/2016,12:27:41,136,Tea
10/31/2016,12:27:41,136,Soup
10/31/2016,12:37:07,137,Farm House
10/31/2016,12:43:35,138,Soup
10/31/2016,12:43:35,138,Hearty & Seasonal
10/31/2016,12:43:35,138,Coffee
10/31/2016,12:50:57,139,Bread
10/31/2016,12:50:57,139,Muffin
10/31/2016,12:50:57,139,Hearty & Seasonal
10/31/2016,12:53:33,140,Coffee
10/31/2016,12:53:33,140,Coffee
10/31/2016,12:53:33,140,Cookies
10/31/2016,12:54:28,141,Bread
10/31/2016,12:56:47,142,Tea
10/31/2016,12:56:47,142,Muffin
10/31/2016,12:59:08,143,Tea
10/31/2016,13:02:11,144,Soup
10/31/2016,13:02:11,144,Hearty & Seasonal
10/31/2016,13:05:49,145,Coffee
10/31/2016,13:05:49,145,Tea
10/31/2016,13:05:49,145,Focaccia
10/31/2016,13:08:30,146,Sandwich
10/31/2016,13:09:31,147,Tartine
10/31/2016,13:09:31,147,Coffee
10/31/2016,13:21:17,148,Fudge
10/31/2016,13:21:17,148,Coffee
10/31/2016,13:21:17,148,Coffee
10/31/2016,13:26:03,149,Coffee
10/31/2016,13:31:33,150,Bread
10/31/2016,13:50:17,151,Coke
10/31/2016,13:50:17,151,Soup
10/31/2016,13:51:18,152,Muffin
10/31/2016,13:55:22,153,Tea
10/31/2016,13:55:22,153,Coffee
10/31/2016,13:55:22,153,Cookies
10/31/2016,13:55:22,153,Muffin
10/31/2016,14:00:21,154,Mighty Protein
10/31/2016,14:00:21,154,Hearty & Seasonal
10/31/2016,14:00:21,154,Coffee
10/31/2016,14:00:21,154,Coke
10/31/2016,14:01:30,155,Tea
10/31/2016,14:01:30,155,Muffin
10/31/2016,14:01:30,155,Sandwich
10/31/2016,14:04:16,156,Coffee
10/31/2016,14:04:16,156,Muffin
10/31/2016,14:05:07,157,Coffee
10/31/2016,14:05:07,157,Bread
10/31/2016,14:20:29,158,Coffee
10/31/2016,14:20:29,158,Muffin
10/31/2016,14:22:31,159,Bread
10/31/2016,14:22:31,159,Hot chocolate
10/31/2016,14:22:31,159,Cookies
10/31/2016,14:35:27,160,Mineral water
10/31/2016,14:35:27,160,Muffin
10/31/2016,14:42:34,161,Tea
10/31/2016,14:44:48,162,Muffin
10/31/2016,14:47:16,163,Coffee
10/31/2016,14:47:16,163,Juice
10/31/2016,14:47:36,164,Coffee
10/31/2016,14:47:36,164,Muffin
10/31/2016,14:48:49,165,Tea
10/31/2016,14:49:28,166,Coffee
10/31/2016,14:49:28,166,Muffin
10/31/2016,14:50:42,167,Sandwich
10/31/2016,14:50:42,167,Hearty & Seasonal
10/31/2016,14:50:42,167,Bread
10/31/2016,14:50:42,167,Mineral water
10/31/2016,14:56:25,168,Tea
10/31/2016,14:56:25,168,Coffee
10/31/2016,15:05:17,169,Mineral water
10/31/2016,15:16:49,170,Coffee
10/31/2016,15:20:16,171,Soup
10/31/2016,15:20:16,171,Tea
10/31/2016,17:06:47,172,Bread
10/31/2016,17:06:47,172,Coffee
10/31/2016,17:08:09,173,Bread
10/31/2016,17:08:09,173,Muffin
10/31/2016,17:40:21,174,Coffee
10/31/2016,17:49:42,175,Bread
10/31/2016,18:22:24,176,Cookies
10/31/2016,18:22:24,176,Coffee
11/1/2016,7:51:20,178,Coffee
11/1/2016,7:51:20,178,Pastry
11/1/2016,8:20:50,179,Coffee
11/1/2016,8:20:50,179,Pastry
11/1/2016,8:22:28,180,Jam
11/1/2016,8:22:28,180,Tea
11/1/2016,8:45:20,181,Tea
11/1/2016,8:45:20,181,Tea
11/1/2016,9:07:47,182,Pastry
11/1/2016,9:07:47,182,Pastry
11/1/2016,9:07:47,182,Ella's Kitchen Pouches
11/1/2016,9:09:26,183,Pastry
11/1/2016,9:26:03,184,Farm House
11/1/2016,9:26:03,184,NONE
11/1/2016,9:26:03,184,Tea
11/1/2016,9:29:25,185,Tea
11/1/2016,9:29:25,185,Victorian Sponge
11/1/2016,9:43:13,186,Tea
11/1/2016,9:43:13,186,Pastry
11/1/2016,10:02:27,187,Bread
11/1/2016,10:04:05,188,Coffee
11/1/2016,10:29:02,189,Bread
11/1/2016,10:29:02,189,Coffee
11/1/2016,10:34:53,190,Coffee
11/1/2016,10:34:53,190,Pastry
11/1/2016,10:34:53,190,Pastry
11/1/2016,10:50:50,191,Soup
11/1/2016,10:50:50,191,Tea
11/1/2016,10:56:08,192,NONE
11/1/2016,10:56:08,192,Bread
11/1/2016,11:00:48,193,Coffee
11/1/2016,11:04:36,194,Bread
11/1/2016,11:04:36,194,Bread
11/1/2016,11:06:09,195,Bread
11/1/2016,11:06:09,195,NONE
11/1/2016,11:06:09,195,Scandinavian
11/1/2016,11:08:18,196,Bread
11/1/2016,11:08:18,196,Cake
11/1/2016,11:08:18,196,Cookies
11/1/2016,11:10:11,197,Coffee
11/1/2016,11:10:11,197,Coffee
11/1/2016,11:10:11,197,Tea
11/1/2016,11:11:58,198,Coffee
11/1/2016,11:11:58,198,Cookies
11/1/2016,11:13:20,199,Coffee
11/1/2016,11:16:30,200,Bread
11/1/2016,11:22:36,201,NONE
11/1/2016,11:22:36,201,Coffee
11/1/2016,11:22:36,201,Pastry
11/1/2016,11:23:19,202,Coffee
11/1/2016,11:23:19,202,Coffee
11/1/2016,11:25:53,203,Coffee
11/1/2016,11:30:00,204,Scandinavian
11/1/2016,11:30:00,204,Bread
11/1/2016,11:49:31,205,Coffee
11/1/2016,11:49:31,205,Coffee
11/1/2016,11:49:31,205,Pastry
11/1/2016,11:54:17,206,Scandinavian
11/1/2016,11:54:17,206,Coffee
11/1/2016,11:54:17,206,Pastry
11/1/2016,12:03:37,207,Hearty & Seasonal
11/1/2016,12:03:37,207,Coffee
11/1/2016,12:03:37,207,Muffin
11/1/2016,12:10:09,208,Bread
11/1/2016,12:10:38,209,Coffee
11/1/2016,12:12:26,210,Scandinavian
11/1/2016,12:15:36,211,Soup
11/1/2016,12:15:36,211,Coffee
11/1/2016,12:20:30,212,Coffee
11/1/2016,12:20:30,212,Cookies
11/1/2016,12:20:30,212,Tartine
11/1/2016,12:22:04,213,Bread
11/1/2016,12:26:43,214,Bread
11/1/2016,12:26:43,214,Tea
11/1/2016,12:26:43,214,Tea
11/1/2016,12:30:30,215,Pastry
11/1/2016,12:30:30,215,Coffee
11/1/2016,12:31:30,216,Tartine
11/1/2016,12:31:30,216,Coffee
11/1/2016,12:33:31,217,Bread
11/1/2016,12:33:31,217,Cookies
11/1/2016,12:37:29,218,Sandwich
11/1/2016,12:41:16,219,Tartine
11/1/2016,12:49:16,220,Bread
11/1/2016,12:49:16,220,Pastry
11/1/2016,12:53:18,221,Bread
11/1/2016,12:53:18,221,Scandinavian
11/1/2016,13:08:46,222,Scandinavian
11/1/2016,13:11:34,223,Alfajores
11/1/2016,13:11:34,223,Coffee
11/1/2016,13:15:08,224,Coffee
11/1/2016,13:19:00,225,Coffee
11/1/2016,13:19:00,225,Coke
11/1/2016,13:19:00,225,Soup
11/1/2016,13:21:52,226,Cake
11/1/2016,13:31:35,227,Tea
11/1/2016,13:31:35,227,Sandwich
11/1/2016,13:31:35,227,Soup
11/1/2016,13:33:54,228,Coffee
11/1/2016,13:37:48,229,Hearty & Seasonal
11/1/2016,13:37:48,229,Bread
11/1/2016,13:41:53,230,Alfajores
11/1/2016,13:45:21,231,Cake
11/1/2016,14:10:03,232,Tea
11/1/2016,14:10:03,232,Tea
11/1/2016,14:10:03,232,Bread
11/1/2016,14:13:26,233,Coffee
11/1/2016,14:13:26,233,Tea
11/1/2016,14:13:26,233,Bread
11/1/2016,14:13:26,233,Soup
11/1/2016,14:14:01,234,Coffee
11/1/2016,14:14:01,234,Coffee
11/1/2016,14:18:52,235,Scandinavian
11/1/2016,14:22:07,236,Fudge
11/1/2016,14:25:14,237,Coffee
